Target_ID,Target_name,CUI,Gene_name,Uni_ID
BE0001058,Chitotriosidase-1,C3502322,CHIT1,Q13231
BE0001060,Angiotensinogen,C0003017,AGT,P01019
BE0001062,Mitogen-activated_protein_kinase_3,C0082529,MAPK3,P27361
BE0001063,E3_ubiquitin-protein_ligase_TRIM13,C1308524,TRIM13,O60858
BE0001065,Glycogen_synthase_kinase-3_beta,C4283740,GSK3B,P49841
BE0001066,Solute_carrier_family_22_member_6,C1420141,SLC22A6,Q4U2R8
BE0001067,ATP-binding_cassette_sub-family_G_member_2,C0761993,ABCG2,Q9UNQ0
BE0001068,Vitronectin,C0055023,VTN,P04004
BE0001069,Canalicular_multispecific_organic_anion_transporter_1,C3540577,ABCC2,Q92887
BE0001070,Somatostatin,C0037659,SST,P61278
BE0001071,Tyrosine-protein_phosphatase_non-receptor_type_11,C1566685,PTPN11,Q06124
BE0001072,Cyclin-dependent_kinase_2,C0108855,CDK2,P24941
BE0001073,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase_1",C1418487,PFKFB1,P16118
BE0001074,E-selectin,C0115305,SELE,P16581
BE0001075,Myeloperoxidase,C0027021,MPO,P05164
BE0001076,GTPase_HRas,C1569842,HRAS,P01112
BE0001077,85/88_kDa_calcium-independent_phospholipase_A2,,PLA2G6,O60733
BE0001078,Aminopeptidase_N,C0054943,ANPEP,P15144
BE0001080,Guanine_nucleotide-binding_protein_G(I)/G(S)/G(O)_subunit_gamma-2,C3814431,GNG2,P59768
BE0001081,Inactive_phospholipase_C-like_protein_1,,PLCL1,Q15111
BE0001082,Cyclin-dependent_kinase_1,C0080054,CDK1,P06493
BE0001084,Neutrophil_gelatinase-associated_lipocalin,C0215955,LCN2,P80188
BE0001085,Intercellular_adhesion_molecule_1,C0063695,ICAM1,P05362
BE0001086,Nuclear_factor_NF-kappa-B_p105_subunit,C2986465,NFKB1,P19838
BE0001087,Lymphotoxin-alpha,C0024320,LTA,P01374
BE0001088,Tissue-type_plasminogen_activator,C0032143,PLAT,P00750
BE0001089,Glucose-6-phosphate_1-dehydrogenase,C0017757,G6PD,P11413
BE0001090,Protein_S100-A1,C3274825,S100A1,P23297
BE0001091,Kallikrein-1,,KLK1,P06870
BE0001092,Protein-arginine_deiminase_type-4,C1434089,PADI4,Q9UM07
BE0001093,Long-chain-fatty-acid--CoA_ligase_3,C1432387,ACSL3,O95573
BE0001094,Beta-nerve_growth_factor,C0027753,NGF,P01138
BE0001095,Gap_junction_alpha-1_protein,C1568716,GJA1,P17302
BE0001096,5'-nucleotidase,C0000530,NT5E,P21589
BE0001097,Mitogen-activated_protein_kinase_10,C0380362,MAPK10,P53779
BE0001098,78_kDa_glucose-regulated_protein,C1437533,HSPA5,P11021
BE0001099,Phosphatidylserine_synthase_1,C1419056,PTDSS1,P48651
BE0001100,Microtubule-associated_protein_2,C0024773,MAP2,P11137
BE0001102,Prostatic_acid_phosphatase,C0312402,ACPP,P15309
BE0001103,Calcitonin_gene-related_peptide_1,C4520796,CALCA,P06881
BE0001104,RET_proto-oncogene,C0694890,RET,O43519
BE0001105,Major_prion_protein,C2346932,PRNP,P04156
BE0001107,Pulmonary_surfactant-associated_protein_D,C0084692,SFTPD,P35247
BE0001108,Hexokinase-1,,HK1,P19367
BE0001109,Ras-related_C3_botulinum_toxin_substrate_1,C0139880,RAC1,P63000
BE0001111,Cytochrome_P450_1B1,C1450093,CYP1B1,Q16678
BE0001112,Bactericidal_permeability-increasing_protein,C1443145,BPI,P17213
BE0001113,CD44_antigen,C0243982,CD44,P16070
BE0001114,Vascular_cell_adhesion_protein_1,C3853651,VCAM1,P19320
BE0001115,Excitatory_amino_acid_transporter_1,C0379752,SLC1A3,P43003
BE0001116,Stromelysin-1,C0164371,MMP3,P08254
BE0001117,Leukotriene_C4_synthase,C1416932,LTC4S,Q16873
BE0001119,Apolipoprotein_E,C0003595,APOE,P02649
BE0001120,Heat_shock_protein_HSP_90-alpha,C3273508,HSP90AA1,P07900
BE0001121,Hepatocyte_growth_factor,C0062534,HGF,P14210
BE0001122,Transient_receptor_potential_cation_channel_subfamily_A_member_1,C1412407,TRPA1,O75762
BE0001123,Carboxypeptidase_E,C0054757,CPE,P16870
BE0001124,Epithelial_discoidin_domain-containing_receptor_1,C0294276,DDR1,Q08345
BE0001125,Alpha-2-antiplasmin,C0003410,SERPINF2,P08697
BE0001126,Proto-oncogene_c-Fos,C4082333,FOS,P01100
BE0001128,S-methyl-5'-thioadenosine_phosphorylase,C1417407,MTAP,Q13126
BE0001129,Platelet_factor_4,C0032183,PF4,P02776
BE0001130,Neutral_and_basic_amino_acid_transport_protein_rBAT,C2986631,SLC3A1,Q07837
BE0001131,ATP-sensitive_inward_rectifier_potassium_channel_12,,KCNJ12,Q14500
BE0001132,Protein_kinase_C_alpha_type,C1565919,PRKCA,P17252
BE0001133,"cAMP-specific_3',5'-cyclic_phosphodiesterase_4A",,PDE4A,P27815
BE0001134,Solute_carrier_family_15_member_2,C1420101,SLC15A2,Q16348
BE0001135,"Phospholipid_hydroperoxide_glutathione_peroxidase,_mitochondrial",,GPX4,P36969
BE0001139,Tumor_necrosis_factor_receptor_superfamily_member_1A,C0255808,TNFRSF1A,P19438
BE0001140,Ceruloplasmin,C0007841,CP,P00450
BE0001141,Vitamin_D-binding_protein,C0042872,GC,P02774
BE0001142,Geranylgeranyl_transferase_type-1_subunit_beta,C1514546,PGGT1B,P53609
BE0001143,Sodium_channel_protein_type_9_subunit_alpha,C1452369,SCN9A,Q15858
BE0001144,Protein-L-isoaspartate(D-aspartate)_O-methyltransferase,,PCMT1,P22061
BE0001145,Methylated-DNA--protein-cysteine_methyltransferase,C0069197,MGMT,P16455
BE0001147,Protein_NOV_homolog,C1121443,NOV,P48745
BE0001148,Dipeptidase_1,C0207803,DPEP1,P16444
BE0001149,Deoxyhypusine_synthase,C0082226,DHPS,P49366
BE0001150,Stromal_cell-derived_factor_1,C0218504,CXCL12,P48061
BE0001151,Thrombomodulin,C0145779,THBD,P07204
BE0001152,Inositol_monophosphatase_1,C1416425,IMPA1,P29218
BE0001153,Beta-hexosaminidase_subunit_beta,C1415523,HEXB,P07686
BE0001154,Inhibitor_of_nuclear_factor_kappa-B_kinase_subunit_beta,C3272751,IKBKB,O14920
BE0001155,Integrin_beta-3,C0245726,ITGB3,P05106
BE0001156,E3_ubiquitin-protein_ligase_XIAP,C1173600,XIAP,P98170
BE0001158,Gastrin/cholecystokinin_type_B_receptor,C4082288,CCKBR,P32239
BE0001159,P-selectin,C0134835,SELP,P16109
BE0001161,Endothelial_protein_C_receptor,C1312737,PROCR,Q9UNN8
BE0001162,Caspase-3,C0291573,CASP3,P42574
BE0001164,Toll-like_receptor_2,C0754727,TLR2,O60603
BE0001165,Endoplasmin,C0059259,HSP90B1,P14625
BE0001167,Hematopoietic_prostaglandin_D_synthase,C1865138,HPGDS,O60760
BE0001168,ATP-binding_cassette_sub-family_G_member_1,C0963751,ABCG1,P45844
BE0001169,Microtubule-associated_protein_1A,C1417003,MAP1A,P78559
BE0001170,Annexin_A2,C0103404,ANXA2,P07355
BE0001171,Toll-like_receptor_9,C0963057,TLR9,Q9NR96
BE0001172,RAC-beta_serine/threonine-protein_kinase,,AKT2,P31751
BE0001173,Cytochrome_b5,C0010746,CYB5A,P00167
BE0001174,14-3-3_protein_zeta/delta,C3492243,YWHAZ,P63104
BE0001175,Proactivator_polypeptide,C3813210,PSAP,P07602
BE0001176,"Sucrase-isomaltase,_intestinal",,SI,P14410
BE0001177,Protein_S100-B,C3273838,S100B,P04271
BE0001178,Tissue_factor,C0040048,F3,P13726
BE0001179,Phosphatidylethanolamine-binding_protein_1,C1826565,PEBP1,P30086
BE0001180,Fibronectin,C0016055,FN1,P02751
BE0001181,Angiogenin,C0051844,ANG,P03950
BE0001182,Neutrophil_collagenase,C0172956,MMP8,P22894
BE0001183,Insulin-degrading_enzyme,C0021669,IDE,P14735
BE0001184,NAD(P)H_dehydrogenase_[quinone]_1,C1136197,NQO1,P15559
BE0001185,Quinone_oxidoreductase,C0027280,CRYZ,Q08257
BE0001186,Transient_receptor_potential_cation_channel_subfamily_M_member_8,C1425206,TRPM8,Q7Z2W7
BE0001188,Multidrug_resistance-associated_protein_4,C1412079,ABCC4,O15439
BE0001189,Glutathione_S-transferase_Mu_2,C0960372,GSTM2,P28161
BE0001190,Transforming_protein_RhoA,C0084340,RHOA,P61586
BE0001191,Protein_S100-P,C1447472,S100P,P25815
BE0001192,Metabotropic_glutamate_receptor_5,C0530778,GRM5,P41594
BE0001193,3-phosphoinositide-dependent_protein_kinase_1,C1335204,PDPK1,O15530
BE0001195,Cystic_fibrosis_transmembrane_conductance_regulator,C0056889,CFTR,P13569
BE0001196,Tumor_necrosis_factor_receptor_superfamily_member_5,C0054959,CD40,P25942
BE0001197,Steryl-sulfatase,C0052456,STS,P08842
BE0001198,Macrophage_metalloelastase,C0968475,MMP12,P39900
BE0001199,Glucose-6-phosphate_isomerase,C0017759,GPI,P06744
BE0001200,Rhodopsin,C0035499,RHO,P08100
BE0001203,Fibroblast_growth_factor_receptor_4,C0117719,FGFR4,P22455
BE0001204,Equilibrative_nucleoside_transporter_1,C0533642,SLC29A1,Q99808
BE0001205,"Deoxyuridine_5'-triphosphate_nucleotidohydrolase,_mitochondrial",,DUT,P33316
BE0001206,Protein_S100-A12,C0389073,S100A12,P80511
BE0001207,Catalase,C0007367,CAT,P04040
BE0001208,Interleukin-5,C0021759,IL5,P05113
BE0001209,Casein_kinase_II_subunit_alpha,C3490418,CSNK2A1,P68400
BE0001210,Gag-Pol_polyprotein,,gag-pol,P12497
BE0001211,Cyclopropane_mycolic_acid_synthase_2,,cmaA2,P9WPB5
BE0001212,Beta-lactamase_type_II,,ccrA,P25910
BE0001213,Serum_amyloid_P-component,C0002721,APCS,P02743
BE0001214,Xylose_isomerase,C0078648,xylA,P12851
BE0001215,m7GpppX_diphosphatase,,DCPS,Q96C86
BE0001216,Malate_synthase_G,,glcB,P37330
BE0001217,Aspartate_aminotransferase,C0004002,aspC,P00509
BE0001218,Thymidylate_kinase,C0058778,tmk,P9WKE1
BE0001219,Endoglucanase_5A,,cel5A,O85465
BE0001220,Xylose_isomerase,C0078648,xylA,P12070
BE0001221,Thymidylate_kinase,C0058778,DTYMK,P23919
BE0001222,Primary_amine_oxidase,,tynA,P46883
BE0001223,"cGMP-inhibited_3',5'-cyclic_phosphodiesterase_B",,PDE3B,Q13370
BE0001224,Uridine_phosphorylase,C0042006,udp,P12758
BE0001225,Xylose_isomerase,C0078648,xylA,P24300
BE0001226,Major_NAD(P)H-flavin_oxidoreductase,,,P46072
BE0001227,"2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase",,gpmI,Q9X519
BE0001228,ATP_phosphoribosyltransferase,C0004203,hisG,P60757
BE0001229,Nicotinate-nucleotide--dimethylbenzimidazole_phosphoribosyltransferase,,cobT,Q05603
BE0001230,Cholesterol_oxidase,C0008391,choB,P22637
BE0001231,Dephospho-CoA_kinase,C0057473,coaE,P0A6I9
BE0001232,"2,3-dihydroxybenzoate-AMP_ligase",C0638733,dhbE,P40871
BE0001233,Listeriolysin_regulatory_protein,,prfA,P22262
BE0001234,Haloalkane_dehalogenase,C1314765,linB,P51698
BE0001235,Protein_RecA,C0034767,recA,Q59560
BE0001236,Steroid_Delta-isomerase,C0075238,ksi,P07445
BE0001237,Adenylate_kinase,C0001497,adk,P16304
BE0001238,Streptogramin_A_acetyltransferase,,vatD,P50870
BE0001239,Isocitrate_dehydrogenase_[NADP],,icd,P16100
BE0001240,Bifunctional_purine_biosynthesis_protein_PURH,C0070926,ATIC,P31939
BE0001241,ADP-ribosyl_cyclase_2,C0255325,BST1,Q10588
BE0001242,Galactosylgalactosylxylosylprotein_3-beta-glucuronosyltransferase_1,C1412716,B3GAT1,Q9P2W7
BE0001243,Cyclomaltodextrin_glucanotransferase,C0056778,,P30920
BE0001244,Adenylate_kinase,C0001497,adk,P69441
BE0001245,Genome_polyprotein,,,P26662
BE0001246,Camphor_5-monooxygenase,C0054563,camC,P00183
BE0001247,UDP-N-acetylmuramate--L-alanine_ligase,,murC,P45066
BE0001248,Lysozyme,C0026794,E,P00720
BE0001249,Isocitrate_dehydrogenase_[NADP],,icd,P08200
BE0001250,3-keto-L-gulonate-6-phosphate_decarboxylase_UlaD,,ulaD,P39304
BE0001251,Isocitrate_dehydrogenase_[NADP]_cytoplasmic,C2697821,IDH1,O75874
BE0001252,UDP-N-acetylglucosamine_1-carboxyvinyltransferase,C0163378,murA,P0A751
BE0001253,2-dehydro-3-deoxyphosphooctonate_aldolase,C0243592,kdsA,O66496
BE0001254,Adenylate_kinase,C0001497,adk,P27142
BE0001255,Adenylate_kinase,C0001497,adk,P84139
BE0001256,Triosephosphate_isomerase,C0041078,TPI,Q07412
BE0001257,Protein_RecA,C0034767,recA,P42443
BE0001258,UDP-N-acetylmuramoylalanine--D-glutamate_ligase,,murD,P14900
BE0001259,Methylisocitrate_lyase,C0312287,prpB,P77541
BE0001260,"Thymidine_kinase,_cytosolic",C1522555,TK1,P04183
BE0001261,Genome_polyprotein,,,P12823
BE0001262,Adenylate_kinase_isoenzyme_1,,AK1,P00568
BE0001263,Botulinum_neurotoxin_type_B,C0006051,botB,P10844
BE0001264,Sulfotransferase_family_cytosolic_2B_member_1,,SULT2B1,O00204
BE0001265,Gag-Pol_polyprotein,,gag-pol,P35963
BE0001266,Carboxylesterase,C0054741,est,Q06174
BE0001267,Malate_dehydrogenase,C0024544,mdh,P80040
BE0001268,HTH-type_transcriptional_regulator_QacR,,qacR,P0A0N5
BE0001269,Protein_RecA,C0034767,recA,P62219
BE0001270,"6,7-dimethyl-8-ribityllumazine_synthase",C0049438,ribH,P9WHE9
BE0001271,ATP-dependent_dethiobiotin_synthetase_BioD_1,,bioD1,P13000
BE0001272,"2,3-diketo-L-gulonate_reductase",C1450954,dlgD,P37672
BE0001273,Protein-glutamine_gamma-glutamyltransferase_E,,TGM3,Q08188
BE0001274,Beta-lactamase_OXA-10,C0965829,bla,P14489
BE0001275,Tubulin_alpha-1B_chain,C3710623,TUBA1B,P68363
BE0001276,Ribosomal_small_subunit_pseudouridine_synthase_A,,rsuA,P45124
BE0001277,Serine/threonine-protein_kinase_pim-1,C1453707,PIM1,P11309
BE0001278,Pleckstrin_homology_domain-containing_family_A_member_4,,PLEKHA4,Q9H4M7
BE0001279,Subtilisin_Savinase,,,P29600
BE0001281,Hut_operon_positive_regulatory_protein,,hutP,P10943
BE0001282,Nitrogen_regulation_protein_NR(I),,glnG,P41789
BE0001283,Apolipoprotein(a),C0085833,LPA,P08519
BE0001284,Tyrosine-protein_kinase_BTK,C1528376,BTK,Q06187
BE0001285,Delta-aminolevulinic_acid_dehydratase,C0002564,hemB,Q59643
BE0001286,Benzoylformate_decarboxylase,C0053276,mdlC,P20906
BE0001287,"cAMP-specific_3',5'-cyclic_phosphodiesterase_4D",,PDE4D,Q08499
BE0001288,Triggering_receptor_expressed_on_myeloid_cells_1,C1425066,TREM1,Q9NP99
BE0001289,Dihydroneopterin_aldolase,C0058095,folB,P56740
BE0001290,Response_regulator_PleD,,pleD,Q9A5I5
BE0001291,UDP-N-acetylglucosamine_1-carboxyvinyltransferase,C0163378,murA,P33038
BE0001292,Cruzipain,C0056539,,P25779
BE0001293,Photoactive_yellow_protein,,pyp,P16113
BE0001294,Pantothenate_kinase,C0070043,coaA,P0A6I3
BE0001295,Bifunctional_tail_protein,,9,P12528
BE0001296,ADP-L-glycero-D-manno-heptose-6-epimerase,,hldD,P67910
BE0001297,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate_N-succinyltransferase",C0075443,dapD,P56220
BE0001298,Dihydrolipoyllysine-residue_acetyltransferase_component_of_pyruvate_dehydrogenase_complex,,,P10802
BE0001299,Carboxymethylenebutenolidase,C0054750,clcD,P0A115
BE0001300,Dual_adapter_for_phosphotyrosine_and_3-phosphotyrosine_and_3-phosphoinositide,,DAPP1,Q9UN19
BE0001301,Monomeric_sarcosine_oxidase,,soxA,P40859
BE0001302,Dihydrofolate_reductase,C0039667,DFR1,P22906
BE0001303,"2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase",,ispF,P62619
BE0001304,Penicillin_acylase,C0030825,,P12256
BE0001305,Ferripyoverdine_receptor,,fpvA,P48632
BE0001306,Non-secretory_ribonuclease,,RNASE2,P10153
BE0001307,Ferrochelatase,C0015880,hemH,P32396
BE0001308,"Biphenyl-2,3-diol_1,2-dioxygenase",C0045379,bphC,P47228
BE0001309,Maltose-6'-phosphate_glucosidase,C0285276,glvA,P54716
BE0001310,Formyl-coenzyme_A_transferase,C0526592,frc,O06644
BE0001311,Dihydroxyacetone_kinase,C0207324,dhaK,P45510
BE0001312,Tyrosine-protein_kinase_ZAP-70,C1421567,ZAP70,P43403
BE0001313,Uric_acid_degradation_bifunctional_protein,,uao,Q45697
BE0001314,Clavaminate_synthase_1,,cs1,Q05581
BE0001315,"Phosphatidylinositol_4,5-bisphosphate_3-kinase_catalytic_subunit_gamma_isoform",C2713509,PIK3CG,P48736
BE0001316,Tyrosine-protein_kinase_SYK,C0134982,SYK,P43405
BE0001317,"Acetyl-CoA_acetyltransferase,_cytosolic",,ACAT2,Q9BWD1
BE0001318,Deoxyuridine_5'-triphosphate_nucleotidohydrolase,,dut,P9WNS5
BE0001319,Methionine_aminopeptidase,C0127863,map,P0A079
BE0001320,Chloramphenicol_acetyltransferase,C0008169,cat,P26841
BE0001321,Arsenate_reductase,C0052419,arsC,P08692
BE0001322,Signal_peptidase_I,C0142292,lepB,P00803
BE0001323,N-carbamoyl-D-amino_acid_hydrolase,C1295522,,P60327
BE0001324,L-lactate_dehydrogenase,C0022917,ldh,P16115
BE0001325,Aspartate--tRNA_ligase,,aspS,P36419
BE0001326,Ferrichrome-iron_receptor,,fhuA,P06971
BE0001327,Thiamine-phosphate_synthase,,thiE,P39594
BE0001328,Putrescine-binding_periplasmic_protein,,potF,P31133
BE0001329,Chondroitinase-B,,cslB,Q46079
BE0001330,Xylose_isomerase,C0078648,xylA,P15587
BE0001331,Capsid_scaffolding_protein,,UL80,P16753
BE0001332,NH(3)-dependent_NAD(+)_synthetase,,nadE,P18843
BE0001333,UDP-3-O-[3-hydroxymyristoyl]_N-acetylglucosamine_deacetylase,,lpxC,O67648
BE0001334,"Alpha,alpha-trehalose-phosphate_synthase_[UDP-forming]",,otsA,P31677
BE0001335,Endoglucanase_F,C0634153,celCCF,P37698
BE0001336,Nicotinate-nucleotide_pyrophosphorylase_[carboxylating],C1531278,nadC,P9WJJ7
BE0001337,Azurin,C0004525,azu,P00282
BE0001338,Ammonia_channel,,amtB,P69681
BE0001339,Exoglucanase/xylanase,,cex,P07986
BE0001340,Tubulin_alpha-1A_chain,,TUBA1A,Q71U36
BE0001341,Tyrosine-protein_kinase_ITK/TSK,C1567665,ITK,Q08881
BE0001342,Gag-Pol_polyprotein,,gag-pol,P12499
BE0001343,Tryptophan--tRNA_ligase,,trpS,P00953
BE0001344,Alanine_racemase,C0001900,alr,P10724
BE0001345,"Glucan_1,3-beta-glucosidase",C0059933,XOG1,P29717
BE0001346,Thermolysin,C0039815,nprS,P43133
BE0001347,Nicotinate-nucleotide_pyrophosphorylase_[carboxylating],C1531278,nadC,P30012
BE0001348,ADP-ribose_pyrophosphatase,,nudF,P83844
BE0001349,D-alanyl-D-alanine_carboxypeptidase,C0660025,,P15555
BE0001350,Transaldolase_B,C0524733,talB,P0A872
BE0001351,L-asparaginase_2,,ansB,P00805
BE0001352,Tyrosine-protein_phosphatase_YopH,,yopH,P15273
BE0001353,Galectin-3,C0245382,LGALS3,P17931
BE0001354,Pyruvate_oxidase,C0034351,pox5,P37063
BE0001355,pH-gated_potassium_channel_KcsA,,kcsA,P0A334
BE0001356,Tyrosine-protein_kinase_CSK,C0138965,CSK,P41240
BE0001357,Beta-phosphoglucomutase,C0312366,pgmB,P71447
BE0001358,Beta-lactamase,C0597979,ampC,P00811
BE0001359,Tubulin_alpha-8_chain,,TUBA8,Q9NY65
BE0001360,DNA_polymerase,C0012892,43,Q38087
BE0001361,Hyaluronate_lyase,C0020197,,Q54873
BE0001362,Bacteriochlorophyll_a_protein,,fmoA,Q46393
BE0001363,Lethal_factor,C0964849,lef,P15917
BE0001364,Deoxyuridine_5'-triphosphate_nucleotidohydrolase,,dut,P06968
BE0001365,Bacteriochlorophyll_a_protein,,,P11741
BE0001366,Guanyl-specific_ribonuclease_Sa,,rnaSA,P05798
BE0001367,Tubulin_beta-4B_chain,,TUBB4B,P68371
BE0001368,Putative_hydroxypyruvate_isomerase_YgbM,,ygbM,Q46891
BE0001369,Phosphomannomutase/phosphoglucomutase,,algC,P26276
BE0001370,Diphtheria_toxin,C0012550,,P00587
BE0001371,Cyclomaltodextrin_glucanotransferase,C0056778,cgt,P05618
BE0001372,Isoleucine--tRNA_ligase,,ileS,P56690
BE0001373,MAP_kinase-activated_protein_kinase_2,C1452441,MAPKAPK2,P49137
BE0001374,Phosphocarrier_protein_HPr,C0070823,ptsH,P08877
BE0001375,Amidophosphoribosyltransferase,C0002492,purF,P00497
BE0001376,GMP_reductase_1,C1415135,GMPR,P36959
BE0001377,Subtilisin_BPN',C0038599,apr,P00782
BE0001378,1-aminocyclopropane-1-carboxylate_deaminase,C0044278,acdS,Q00740
BE0001379,Iron(3+)-hydroxamate-binding_protein_FhuD,,fhuD,P07822
BE0001380,Cell_division_protein_FtsZ,,ftsZ,P9WN95
BE0001381,3-phosphoshikimate_1-carboxyvinyltransferase,C0243808,aroA,P0A6D3
BE0001382,NADPH-ferredoxin_reductase_FprA,,fprA,P9WIQ3
BE0001383,Fatty_acid_metabolism_regulator_protein,,fadR,P0A8V9
BE0001384,Alpha-ketoglutarate-dependent_taurine_dioxygenase,,tauD,P37610
BE0001385,Protein_kinase_C_theta_type,,PRKCQ,Q04759
BE0001386,Alpha-amylase,C0002245,amyE,P00691
BE0001387,Pantothenate_synthetase,C0070044,panC,P9WIL5
BE0001388,Tubulin_alpha-1C_chain,,TUBA1C,Q9BQE3
BE0001389,Aromatic-amino-acid_aminotransferase,C0052397,tyrB,P95468
BE0001390,6-phospho-beta-glucosidase_BglT,,bglT,Q9X108
BE0001391,Tubulin_alpha-4A_chain,,TUBA4A,P68366
BE0001392,Choloylglycine_hydrolase,C0055580,cbh,P54965
BE0001393,Neopullulanase_1,,tvaI,Q60053
BE0001394,2-dehydro-3-deoxyphosphooctonate_aldolase,C0243592,kdsA,P0A716
BE0001395,Bacterial_leucyl_aminopeptidase,C0244450,,Q01693
BE0001396,Histidinol-phosphate_aminotransferase,C0062757,hisC,P06986
BE0001397,Subtilisin_Carlsberg,C0038597,apr,P00780
BE0001398,Cobalt-precorrin-4_C(11)-methyltransferase,,cbiF,O87696
BE0001399,"Peptidyl-prolyl_cis-trans_isomerase_F,_mitochondrial",C3890436,PPIF,P30405
BE0001400,Pol_polyprotein,C0017281,pol,P16088
BE0001401,Tyrosine-protein_kinase_transforming_protein_Src,,V-SRC,P63185
BE0001402,Cap-specific_mRNA_(nucleoside-2'-O-)-methyltransferase,,PAPS,P07617
BE0001403,Thymidine_kinase,C0040078,TK,P03176
BE0001404,Galactoside_O-acetyltransferase,,lacA,P07464
BE0001405,Queuine_tRNA-ribosyltransferase,C0243670,tgt,P28720
BE0001407,"Glucan_1,4-alpha-maltohexaosidase",C0312089,,P19571
BE0001408,Tubulin_beta-4A_chain,,TUBB4A,P04350
BE0001409,Thymidylate_synthase_ThyX,,thyX,Q9WYT0
BE0001410,2-hydroxymuconate_tautomerase,,xylH,Q01468
BE0001411,Tetanus_toxin,C0039617,tetX,P04958
BE0001412,Cell_division_protein_ZipA_homolog,,zipA,Q83QN9
BE0001413,Cocaine_esterase,C1146632,cocE,Q9L9D7
BE0001414,"Endoplasmic_reticulum_mannosyl-oligosaccharide_1,2-alpha-mannosidase",,MAN1B1,Q9UKM7
BE0001415,Tubulin_beta-3_chain,C3537404,TUBB3,Q13509
BE0001416,Chondroitinase-AC,,cslA,Q59288
BE0001417,Isopentenyl-diphosphate_Delta-isomerase,C0312360,idi,Q46822
BE0001418,Alkaline_protease,C1563389,,P27693
BE0001419,Galactose-1-phosphate_uridylyltransferase,C0016953,galT,P09148
BE0001420,Urocanate_hydratase,C0042053,hutU,Q88CZ6
BE0001421,Beta-galactosidase,C0005220,lacZ,P00722
BE0001422,Acetyl-CoA_acetyltransferase,C0001019,phbA,P07097
BE0001423,Glutamine--fructose-6-phosphate_aminotransferase_[isomerizing],,glmS,P17169
BE0001424,Tyrosine-protein_kinase_HCK,C0084219,HCK,P08631
BE0001425,Tubulin_alpha-3C/D_chain,C3539816,TUBA3C,Q13748
BE0001426,Beta-lactamase_2,,blm,P04190
BE0001427,Neopullulanase_2,,tvaII,Q08751
BE0001428,UDP-N-acetylglucosamine_2-epimerase,C0077683,wecB,P27828
BE0001429,UDP-N-acetylhexosamine_pyrophosphorylase,,UAP1,Q16222
BE0001430,Beta-lactamase,C0597979,ampC,P05364
BE0001431,Chemotaxis_protein_CheA,,cheA,Q56310
BE0001432,Ganglioside_GM2_activator,,GM2A,P17900
BE0001433,Nitric_oxide_synthase_oxygenase,,nos,O34453
BE0001434,Methyl-accepting_chemotaxis_protein_II,C0128126,tar,P02941
BE0001435,6-phospho-beta-galactosidase,C0163361,lacG,P11546
BE0001436,Thermoresistant_gluconokinase,,gntK,P46859
BE0001437,Probable_2-phosphosulfolactate_phosphatase,,comB,Q97E82
BE0001438,Thymidylate_synthase,C0040085,thyA,P0A884
BE0001439,Glucose-6-phosphate_1-dehydrogenase,C0017757,zwf,P11411
BE0001440,V-type_sodium_ATPase_subunit_K,,ntpK,P43457
BE0001441,Adenylosuccinate_synthetase,C0001503,purA,P0A7D4
BE0001442,Anaerobic_ribonucleoside-triphosphate_reductase,,NRDD,P07071
BE0001443,Aliphatic_amidase_expression-regulating_protein,,amiC,P27017
BE0001444,Beta-lactamase,C0597979,ampC,P05193
BE0001445,Shikimate_dehydrogenase,C0074452,aroE,P43876
BE0001446,Formate_dehydrogenase_H,C0060648,fdhF,P07658
BE0001447,Serine/threonine-protein_phosphatase_PP1-gamma_catalytic_subunit,,PPP1CC,P36873
BE0001448,L-lactate_dehydrogenase,C0022917,,Q27743
BE0001449,"6,7-dimethyl-8-ribityllumazine_synthase",C0049438,ribH,O66529
BE0001450,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_pyrophosphokinase,C0045836,folK,P26281
BE0001451,Endoglucanase,C0007641,,P19424
BE0001452,Dihydroorotase,C0012274,pyrC,P05020
BE0001453,RNA-directed_RNA_polymerase,C0035685,P2,P11124
BE0001454,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)_pyrophosphoryl-undecaprenol_N-acetylglucosamine_transferase,,murG,P17443
BE0001455,Hydroxymethylpyrimidine/phosphomethylpyrimidine_kinase,,thiD,P55882
BE0001456,Modification_methylase_RsrI,,rsrIM,P14751
BE0001457,Complement_control_protein_C3,,,P68638
BE0001458,Aldehyde_oxidoreductase,,mop,Q46509
BE0001459,"Catechol_1,2-dioxygenase",C0054859,catA,P07773
BE0001460,4-hydroxy-tetrahydrodipicolinate_synthase,C0058069,dapA,Q9X1K9
BE0001461,Glutamate_racemase,C0061464,murI,P56868
BE0001462,S-ribosylhomocysteine_lyase,,luxS,Q9RRU8
BE0001464,Pyridoxamine_kinase,C0034265,pdxY,P77150
BE0001465,Aspartate_aminotransferase,C0004002,aspC,Q56232
BE0001466,Lanosterol_synthase,C0243727,LSS,P48449
BE0001467,Pteridine_reductase_1,C4281729,PTR1,Q01782
BE0001468,Neuraminidase,C0027803,NA,P06820
