Drug,Protein ID,Protein Name
DB13961,P37231,Peroxisome_proliferator-activated_receptor_gamma
DB00025,P00742,Coagulation_factor_X
DB00036,P00742,Coagulation_factor_X
DB00100,P00742,Coagulation_factor_X
DB00170,P00742,Coagulation_factor_X
DB00569,P00742,Coagulation_factor_X
DB01109,P00742,Coagulation_factor_X
DB01225,P00742,Coagulation_factor_X
DB06228,P00742,Coagulation_factor_X
DB06605,P00742,Coagulation_factor_X
DB09075,P00742,Coagulation_factor_X
DB09109,P00742,Coagulation_factor_X
DB09141,P00742,Coagulation_factor_X
DB09258,P00742,Coagulation_factor_X
DB09332,P00742,Coagulation_factor_X
DB11166,P00742,Coagulation_factor_X
DB12364,P00742,Coagulation_factor_X
DB13149,P00742,Coagulation_factor_X
DB13150,P00742,Coagulation_factor_X
DB13151,P00742,Coagulation_factor_X
DB13152,P00742,Coagulation_factor_X
DB13192,P00742,Coagulation_factor_X
DB13884,P00742,Coagulation_factor_X
DB13923,P00742,Coagulation_factor_X
DB13933,P00742,Coagulation_factor_X
DB13998,P00742,Coagulation_factor_X
DB13999,P00742,Coagulation_factor_X
DB14738,P00742,Coagulation_factor_X
DB00181,Q9UBS5,Gamma-aminobutyric_acid_type_B_receptor_subunit_1
DB00996,Q9UBS5,Gamma-aminobutyric_acid_type_B_receptor_subunit_1
DB01080,Q9UBS5,Gamma-aminobutyric_acid_type_B_receptor_subunit_1
DB01956,Q9UBS5,Gamma-aminobutyric_acid_type_B_receptor_subunit_1
DB02530,Q9UBS5,Gamma-aminobutyric_acid_type_B_receptor_subunit_1
DB00228,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB00753,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB01028,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB01159,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB01189,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB01236,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB01373,P98194,Calcium-transporting_ATPase_type_2C_member_1
DB00128,P08243,Asparagine_synthetase_[glutamine-hydrolyzing]
DB00142,P08243,Asparagine_synthetase_[glutamine-hydrolyzing]
DB00174,P08243,Asparagine_synthetase_[glutamine-hydrolyzing]
DB00157,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB00170,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB01065,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB01087,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB02709,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB03147,P16083,Ribosyldihydronicotinamide_dehydrogenase_[quinone]
DB00178,P12821,Angiotensin-converting_enzyme
DB00492,P12821,Angiotensin-converting_enzyme
DB00519,P12821,Angiotensin-converting_enzyme
DB00542,P12821,Angiotensin-converting_enzyme
DB00584,P12821,Angiotensin-converting_enzyme
DB00691,P12821,Angiotensin-converting_enzyme
DB00722,P12821,Angiotensin-converting_enzyme
DB00790,P12821,Angiotensin-converting_enzyme
DB00881,P12821,Angiotensin-converting_enzyme
DB01180,P12821,Angiotensin-converting_enzyme
DB01197,P12821,Angiotensin-converting_enzyme
DB01340,P12821,Angiotensin-converting_enzyme
DB01348,P12821,Angiotensin-converting_enzyme
DB09477,P12821,Angiotensin-converting_enzyme
DB13166,P12821,Angiotensin-converting_enzyme
DB00161,P26640,Valine--tRNA_ligase
DB00157,O15239,NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_1
DB00157,P32322,"Pyrroline-5-carboxylate_reductase_1,_mitochondrial"
DB00172,P32322,"Pyrroline-5-carboxylate_reductase_1,_mitochondrial"
DB00157,P07327,Alcohol_dehydrogenase_1A
DB01213,P07327,Alcohol_dehydrogenase_1A
DB00150,P23381,"Tryptophan--tRNA_ligase,_cytoplasmic"
DB00606,P54710,Sodium/potassium-transporting_ATPase_subunit_gamma
DB11590,P54710,Sodium/potassium-transporting_ATPase_subunit_gamma
DB00135,P54577,"Tyrosine--tRNA_ligase,_cytoplasmic"
DB02709,P54577,"Tyrosine--tRNA_ligase,_cytoplasmic"
DB00157,Q02252,"Methylmalonate-semialdehyde_dehydrogenase_[acylating],_mitochondrial"
DB08827,P55157,Microsomal_triglyceride_transfer_protein_large_subunit
DB00196,P10613,Lanosterol_14-alpha_demethylase
DB00239,P10613,Lanosterol_14-alpha_demethylase
DB00251,P10613,Lanosterol_14-alpha_demethylase
DB00257,P10613,Lanosterol_14-alpha_demethylase
DB00582,P10613,Lanosterol_14-alpha_demethylase
DB01007,P10613,Lanosterol_14-alpha_demethylase
DB01026,P10613,Lanosterol_14-alpha_demethylase
DB01110,P10613,Lanosterol_14-alpha_demethylase
DB01127,P10613,Lanosterol_14-alpha_demethylase
DB01153,P10613,Lanosterol_14-alpha_demethylase
DB01263,P10613,Lanosterol_14-alpha_demethylase
DB04794,P10613,Lanosterol_14-alpha_demethylase
DB08933,P10613,Lanosterol_14-alpha_demethylase
DB00156,P26639,"Threonine--tRNA_ligase,_cytoplasmic"
DB00128,O75746,Calcium-binding_mitochondrial_carrier_protein_Aralar1
DB00174,Q15758,Neutral_amino_acid_transporter_B(0)
DB13146,Q15758,Neutral_amino_acid_transporter_B(0)
DB00200,P20061,Transcobalamin-1
DB06439,P06858,Lipoprotein_lipase
DB09568,P06858,Lipoprotein_lipase
DB13751,P06858,Lipoprotein_lipase
DB00009,P05121,Plasminogen_activator_inhibitor_1
DB00013,P05121,Plasminogen_activator_inhibitor_1
DB00015,P05121,Plasminogen_activator_inhibitor_1
DB00029,P05121,Plasminogen_activator_inhibitor_1
DB00031,P05121,Plasminogen_activator_inhibitor_1
DB00055,P05121,Plasminogen_activator_inhibitor_1
DB09130,P05121,Plasminogen_activator_inhibitor_1
DB00277,P29275,Adenosine_receptor_A2b
DB00640,P29275,Adenosine_receptor_A2b
DB00824,P29275,Adenosine_receptor_A2b
DB04932,P29275,Adenosine_receptor_A2b
DB00648,P10109,"Adrenodoxin,_mitochondrial"
DB00157,O43674,"NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_5,_mitochondrial"
DB00157,P30038,"Delta-1-pyrroline-5-carboxylate_dehydrogenase,_mitochondrial"
DB00157,O96000,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_10
DB01050,P10415,Apoptosis_regulator_Bcl-2
DB01229,P10415,Apoptosis_regulator_Bcl-2
DB01248,P10415,Apoptosis_regulator_Bcl-2
DB01367,P10415,Apoptosis_regulator_Bcl-2
DB06756,P10415,Apoptosis_regulator_Bcl-2
DB08871,P10415,Apoptosis_regulator_Bcl-2
DB09213,P10415,Apoptosis_regulator_Bcl-2
DB09401,P10415,Apoptosis_regulator_Bcl-2
DB11581,P10415,Apoptosis_regulator_Bcl-2
DB00246,P08912,Muscarinic_acetylcholine_receptor_M5
DB00340,P08912,Muscarinic_acetylcholine_receptor_M5
DB00342,P08912,Muscarinic_acetylcholine_receptor_M5
DB00363,P08912,Muscarinic_acetylcholine_receptor_M5
DB00376,P08912,Muscarinic_acetylcholine_receptor_M5
DB00408,P08912,Muscarinic_acetylcholine_receptor_M5
DB00420,P08912,Muscarinic_acetylcholine_receptor_M5
DB00458,P08912,Muscarinic_acetylcholine_receptor_M5
DB00483,P08912,Muscarinic_acetylcholine_receptor_M5
DB00496,P08912,Muscarinic_acetylcholine_receptor_M5
DB00540,P08912,Muscarinic_acetylcholine_receptor_M5
DB00572,P08912,Muscarinic_acetylcholine_receptor_M5
DB00622,P08912,Muscarinic_acetylcholine_receptor_M5
DB00715,P08912,Muscarinic_acetylcholine_receptor_M5
DB00725,P08912,Muscarinic_acetylcholine_receptor_M5
DB00747,P08912,Muscarinic_acetylcholine_receptor_M5
DB00777,P08912,Muscarinic_acetylcholine_receptor_M5
DB00785,P08912,Muscarinic_acetylcholine_receptor_M5
DB00835,P08912,Muscarinic_acetylcholine_receptor_M5
DB00934,P08912,Muscarinic_acetylcholine_receptor_M5
DB01036,P08912,Muscarinic_acetylcholine_receptor_M5
DB01069,P08912,Muscarinic_acetylcholine_receptor_M5
DB01142,P08912,Muscarinic_acetylcholine_receptor_M5
DB01151,P08912,Muscarinic_acetylcholine_receptor_M5
DB01224,P08912,Muscarinic_acetylcholine_receptor_M5
DB01238,P08912,Muscarinic_acetylcholine_receptor_M5
DB01239,P08912,Muscarinic_acetylcholine_receptor_M5
DB01403,P08912,Muscarinic_acetylcholine_receptor_M5
DB01409,P08912,Muscarinic_acetylcholine_receptor_M5
DB01591,P08912,Muscarinic_acetylcholine_receptor_M5
DB06702,P08912,Muscarinic_acetylcholine_receptor_M5
DB08897,P08912,Muscarinic_acetylcholine_receptor_M5
DB09076,P08912,Muscarinic_acetylcholine_receptor_M5
DB09167,P08912,Muscarinic_acetylcholine_receptor_M5
DB11181,P08912,Muscarinic_acetylcholine_receptor_M5
DB11235,P08912,Muscarinic_acetylcholine_receptor_M5
DB12278,P08912,Muscarinic_acetylcholine_receptor_M5
DB14185,P08912,Muscarinic_acetylcholine_receptor_M5
DB00163,P09917,Arachidonate_5-lipoxygenase
DB00179,P09917,Arachidonate_5-lipoxygenase
DB00233,P09917,Arachidonate_5-lipoxygenase
DB00244,P09917,Arachidonate_5-lipoxygenase
DB00471,P09917,Arachidonate_5-lipoxygenase
DB00586,P09917,Arachidonate_5-lipoxygenase
DB00711,P09917,Arachidonate_5-lipoxygenase
DB00744,P09917,Arachidonate_5-lipoxygenase
DB00795,P09917,Arachidonate_5-lipoxygenase
DB00939,P09917,Arachidonate_5-lipoxygenase
DB01014,P09917,Arachidonate_5-lipoxygenase
DB01017,P09917,Arachidonate_5-lipoxygenase
DB02709,P09917,Arachidonate_5-lipoxygenase
DB11994,P09917,Arachidonate_5-lipoxygenase
DB12010,P09917,Arachidonate_5-lipoxygenase
DB14001,P09917,Arachidonate_5-lipoxygenase
DB14002,P09917,Arachidonate_5-lipoxygenase
DB00906,P30531,Sodium-_and_chloride-dependent_GABA_transporter_1
DB00242,P00491,Purine_nucleoside_phosphorylase
DB00900,P00491,Purine_nucleoside_phosphorylase
DB00157,P14679,Tyrosinase
DB00548,P14679,Tyrosinase
DB00600,P14679,Tyrosinase
DB09526,P14679,Tyrosinase
DB11217,P14679,Tyrosinase
DB11254,P14679,Tyrosinase
DB00114,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB00119,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB00142,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB00160,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB00780,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB01080,P80404,"4-aminobutyrate_aminotransferase,_mitochondrial"
DB00131,Q9Y478,5'-AMP-activated_protein_kinase_subunit_beta-1
DB00331,Q9Y478,5'-AMP-activated_protein_kinase_subunit_beta-1
DB00162,P10745,Retinol-binding_protein_3
DB00163,O76054,SEC14-like_protein_2
DB03796,O76054,SEC14-like_protein_2
DB14001,O76054,SEC14-like_protein_2
DB14002,O76054,SEC14-like_protein_2
DB00615,P0A8V2,DNA-directed_RNA_polymerase_subunit_beta
DB01045,P0A8V2,DNA-directed_RNA_polymerase_subunit_beta
DB01220,P0A8V2,DNA-directed_RNA_polymerase_subunit_beta
DB11753,P0A8V2,DNA-directed_RNA_polymerase_subunit_beta
DB00129,Q9BXI2,Mitochondrial_ornithine_transporter_2
DB00141,P15291,"Beta-1,4-galactosyltransferase_1"
DB00157,P40939,"Trifunctional_enzyme_subunit_alpha,_mitochondrial"
DB00811,P49902,Cytosolic_purine_5'-nucleotidase
DB00159,P35354,Prostaglandin_G/H_synthase_2
DB00210,P35354,Prostaglandin_G/H_synthase_2
DB00233,P35354,Prostaglandin_G/H_synthase_2
DB00244,P35354,Prostaglandin_G/H_synthase_2
DB00316,P35354,Prostaglandin_G/H_synthase_2
DB00328,P35354,Prostaglandin_G/H_synthase_2
DB00461,P35354,Prostaglandin_G/H_synthase_2
DB00465,P35354,Prostaglandin_G/H_synthase_2
DB00469,P35354,Prostaglandin_G/H_synthase_2
DB00480,P35354,Prostaglandin_G/H_synthase_2
DB00482,P35354,Prostaglandin_G/H_synthase_2
DB00500,P35354,Prostaglandin_G/H_synthase_2
DB00533,P35354,Prostaglandin_G/H_synthase_2
DB00554,P35354,Prostaglandin_G/H_synthase_2
DB00573,P35354,Prostaglandin_G/H_synthase_2
DB00580,P35354,Prostaglandin_G/H_synthase_2
DB00586,P35354,Prostaglandin_G/H_synthase_2
DB00605,P35354,Prostaglandin_G/H_synthase_2
DB00712,P35354,Prostaglandin_G/H_synthase_2
DB00749,P35354,Prostaglandin_G/H_synthase_2
DB00784,P35354,Prostaglandin_G/H_synthase_2
DB00788,P35354,Prostaglandin_G/H_synthase_2
DB00795,P35354,Prostaglandin_G/H_synthase_2
DB00812,P35354,Prostaglandin_G/H_synthase_2
DB00814,P35354,Prostaglandin_G/H_synthase_2
DB00821,P35354,Prostaglandin_G/H_synthase_2
DB00861,P35354,Prostaglandin_G/H_synthase_2
DB00870,P35354,Prostaglandin_G/H_synthase_2
DB00936,P35354,Prostaglandin_G/H_synthase_2
DB00939,P35354,Prostaglandin_G/H_synthase_2
DB00945,P35354,Prostaglandin_G/H_synthase_2
DB00963,P35354,Prostaglandin_G/H_synthase_2
DB00991,P35354,Prostaglandin_G/H_synthase_2
DB01009,P35354,Prostaglandin_G/H_synthase_2
DB01014,P35354,Prostaglandin_G/H_synthase_2
DB01041,P35354,Prostaglandin_G/H_synthase_2
DB01050,P35354,Prostaglandin_G/H_synthase_2
DB01283,P35354,Prostaglandin_G/H_synthase_2
DB01399,P35354,Prostaglandin_G/H_synthase_2
DB01401,P35354,Prostaglandin_G/H_synthase_2
DB01404,P35354,Prostaglandin_G/H_synthase_2
DB01419,P35354,Prostaglandin_G/H_synthase_2
DB01435,P35354,Prostaglandin_G/H_synthase_2
DB01600,P35354,Prostaglandin_G/H_synthase_2
DB01628,P35354,Prostaglandin_G/H_synthase_2
DB02266,P35354,Prostaglandin_G/H_synthase_2
DB02709,P35354,Prostaglandin_G/H_synthase_2
DB04743,P35354,Prostaglandin_G/H_synthase_2
DB06725,P35354,Prostaglandin_G/H_synthase_2
DB06736,P35354,Prostaglandin_G/H_synthase_2
DB06802,P35354,Prostaglandin_G/H_synthase_2
DB08439,P35354,Prostaglandin_G/H_synthase_2
DB08910,P35354,Prostaglandin_G/H_synthase_2
DB09213,P35354,Prostaglandin_G/H_synthase_2
DB09214,P35354,Prostaglandin_G/H_synthase_2
DB09216,P35354,Prostaglandin_G/H_synthase_2
DB11071,P35354,Prostaglandin_G/H_synthase_2
DB11079,P35354,Prostaglandin_G/H_synthase_2
DB11201,P35354,Prostaglandin_G/H_synthase_2
DB11323,P35354,Prostaglandin_G/H_synthase_2
DB11327,P35354,Prostaglandin_G/H_synthase_2
DB13167,P35354,Prostaglandin_G/H_synthase_2
DB13346,P35354,Prostaglandin_G/H_synthase_2
DB13501,P35354,Prostaglandin_G/H_synthase_2
DB13783,P35354,Prostaglandin_G/H_synthase_2
DB13961,P35354,Prostaglandin_G/H_synthase_2
DB00125,P29474,"Nitric_oxide_synthase,_endothelial"
DB00155,P29474,"Nitric_oxide_synthase,_endothelial"
DB00360,P29474,"Nitric_oxide_synthase,_endothelial"
DB01110,P29474,"Nitric_oxide_synthase,_endothelial"
DB05676,P29474,"Nitric_oxide_synthase,_endothelial"
DB12010,Q04771,Activin_receptor_type-1
DB09292,P08473,Neprilysin
DB00232,P00915,Carbonic_anhydrase_1
DB00273,P00915,Carbonic_anhydrase_1
DB00310,P00915,Carbonic_anhydrase_1
DB00381,P00915,Carbonic_anhydrase_1
DB00423,P00915,Carbonic_anhydrase_1
DB00436,P00915,Carbonic_anhydrase_1
DB00562,P00915,Carbonic_anhydrase_1
DB00606,P00915,Carbonic_anhydrase_1
DB00703,P00915,Carbonic_anhydrase_1
DB00774,P00915,Carbonic_anhydrase_1
DB00819,P00915,Carbonic_anhydrase_1
DB00869,P00915,Carbonic_anhydrase_1
DB00880,P00915,Carbonic_anhydrase_1
DB00909,P00915,Carbonic_anhydrase_1
DB00999,P00915,Carbonic_anhydrase_1
DB01021,P00915,Carbonic_anhydrase_1
DB01031,P00915,Carbonic_anhydrase_1
DB01119,P00915,Carbonic_anhydrase_1
DB01144,P00915,Carbonic_anhydrase_1
DB01194,P00915,Carbonic_anhydrase_1
DB01325,P00915,Carbonic_anhydrase_1
DB09460,P00915,Carbonic_anhydrase_1
DB09472,P00915,Carbonic_anhydrase_1
DB00157,P13995,"Bifunctional_methylenetetrahydrofolate_dehydrogenase/cyclohydrolase,_mitochondrial"
DB00131,Q08828,Adenylate_cyclase_type_1
DB09121,Q08828,Adenylate_cyclase_type_1
DB00350,P00797,Renin
DB09026,P00797,Renin
DB00158,P14207,Folate_receptor_beta
DB00157,P03901,NADH-ubiquinone_oxidoreductase_chain_4L
DB00114,Q16773,Kynurenine--oxoglutarate_transaminase_1
DB00075,P07766,T-cell_surface_glycoprotein_CD3_epsilon_chain
DB06607,P07766,T-cell_surface_glycoprotein_CD3_epsilon_chain
DB00761,Q9Y666,Solute_carrier_family_12_member_7
DB00128,Q9UJS0,Calcium-binding_mitochondrial_carrier_protein_Aralar2
DB00114,Q96GD0,Pyridoxal_phosphate_phosphatase
DB00452,P0A7S3,30S_ribosomal_protein_S12
DB00479,P0A7S3,30S_ribosomal_protein_S12
DB00560,P0A7S3,30S_ribosomal_protein_S12
DB00684,P0A7S3,30S_ribosomal_protein_S12
DB00798,P0A7S3,30S_ribosomal_protein_S12
DB00919,P0A7S3,30S_ribosomal_protein_S12
DB00955,P0A7S3,30S_ribosomal_protein_S12
DB00994,P0A7S3,30S_ribosomal_protein_S12
DB01082,P0A7S3,30S_ribosomal_protein_S12
DB01172,P0A7S3,30S_ribosomal_protein_S12
DB03615,P0A7S3,30S_ribosomal_protein_S12
DB00407,P01008,Antithrombin-III
DB00569,P01008,Antithrombin-III
DB01109,P01008,Antithrombin-III
DB01225,P01008,Antithrombin-III
DB06271,P01008,Antithrombin-III
DB06754,P01008,Antithrombin-III
DB06779,P01008,Antithrombin-III
DB06822,P01008,Antithrombin-III
DB08813,P01008,Antithrombin-III
DB09130,P01008,Antithrombin-III
DB09141,P01008,Antithrombin-III
DB09258,P01008,Antithrombin-III
DB11598,P01008,Antithrombin-III
DB00214,P55011,Solute_carrier_family_12_member_2
DB00761,P55011,Solute_carrier_family_12_member_2
DB00887,P55011,Solute_carrier_family_12_member_2
DB01325,P55011,Solute_carrier_family_12_member_2
DB00811,P16502,RNA-directed_RNA_polymerase_catalytic_subunit
DB00400,P10875,Tubulin_beta_chain
DB00157,O43676,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_3
DB00117,Q99624,Sodium-coupled_neutral_amino_acid_transporter_3
DB00174,Q99624,Sodium-coupled_neutral_amino_acid_transporter_3
DB00129,P05089,Arginase-1
DB03904,P05089,Arginase-1
DB06757,P05089,Arginase-1
DB00157,P49189,4-trimethylaminobutyraldehyde_dehydrogenase
DB00246,P08913,Alpha-2A_adrenergic_receptor
DB00248,P08913,Alpha-2A_adrenergic_receptor
DB00320,P08913,Alpha-2A_adrenergic_receptor
DB00321,P08913,Alpha-2A_adrenergic_receptor
DB00363,P08913,Alpha-2A_adrenergic_receptor
DB00368,P08913,Alpha-2A_adrenergic_receptor
DB00370,P08913,Alpha-2A_adrenergic_receptor
DB00408,P08913,Alpha-2A_adrenergic_receptor
DB00413,P08913,Alpha-2A_adrenergic_receptor
DB00449,P08913,Alpha-2A_adrenergic_receptor
DB00457,P08913,Alpha-2A_adrenergic_receptor
DB00484,P08913,Alpha-2A_adrenergic_receptor
DB00543,P08913,Alpha-2A_adrenergic_receptor
DB00555,P08913,Alpha-2A_adrenergic_receptor
DB00575,P08913,Alpha-2A_adrenergic_receptor
DB00589,P08913,Alpha-2A_adrenergic_receptor
DB00629,P08913,Alpha-2A_adrenergic_receptor
DB00633,P08913,Alpha-2A_adrenergic_receptor
DB00656,P08913,Alpha-2A_adrenergic_receptor
DB00668,P08913,Alpha-2A_adrenergic_receptor
DB00692,P08913,Alpha-2A_adrenergic_receptor
DB00696,P08913,Alpha-2A_adrenergic_receptor
DB00714,P08913,Alpha-2A_adrenergic_receptor
DB00726,P08913,Alpha-2A_adrenergic_receptor
DB00734,P08913,Alpha-2A_adrenergic_receptor
DB00751,P08913,Alpha-2A_adrenergic_receptor
DB00797,P08913,Alpha-2A_adrenergic_receptor
DB00800,P08913,Alpha-2A_adrenergic_receptor
DB00852,P08913,Alpha-2A_adrenergic_receptor
DB00865,P08913,Alpha-2A_adrenergic_receptor
DB00925,P08913,Alpha-2A_adrenergic_receptor
DB00935,P08913,Alpha-2A_adrenergic_receptor
DB00964,P08913,Alpha-2A_adrenergic_receptor
DB00968,P08913,Alpha-2A_adrenergic_receptor
DB01018,P08913,Alpha-2A_adrenergic_receptor
DB01136,P08913,Alpha-2A_adrenergic_receptor
DB01149,P08913,Alpha-2A_adrenergic_receptor
DB01186,P08913,Alpha-2A_adrenergic_receptor
DB01200,P08913,Alpha-2A_adrenergic_receptor
DB01224,P08913,Alpha-2A_adrenergic_receptor
DB01238,P08913,Alpha-2A_adrenergic_receptor
DB01267,P08913,Alpha-2A_adrenergic_receptor
DB01392,P08913,Alpha-2A_adrenergic_receptor
DB01403,P08913,Alpha-2A_adrenergic_receptor
DB01577,P08913,Alpha-2A_adrenergic_receptor
DB01608,P08913,Alpha-2A_adrenergic_receptor
DB01624,P08913,Alpha-2A_adrenergic_receptor
DB04846,P08913,Alpha-2A_adrenergic_receptor
DB04855,P08913,Alpha-2A_adrenergic_receptor
DB04948,P08913,Alpha-2A_adrenergic_receptor
DB06148,P08913,Alpha-2A_adrenergic_receptor
DB06153,P08913,Alpha-2A_adrenergic_receptor
DB06216,P08913,Alpha-2A_adrenergic_receptor
DB06262,P08913,Alpha-2A_adrenergic_receptor
DB06694,P08913,Alpha-2A_adrenergic_receptor
DB06711,P08913,Alpha-2A_adrenergic_receptor
DB08815,P08913,Alpha-2A_adrenergic_receptor
DB09242,P08913,Alpha-2A_adrenergic_receptor
DB11124,P08913,Alpha-2A_adrenergic_receptor
DB11278,P08913,Alpha-2A_adrenergic_receptor
DB11738,P08913,Alpha-2A_adrenergic_receptor
DB14185,P08913,Alpha-2A_adrenergic_receptor
DB00514,Q5T1J1,"HCG20471,_isoform_CRA_c"
DB00704,Q5T1J1,"HCG20471,_isoform_CRA_c"
DB00216,P08908,5-hydroxytryptamine_receptor_1A
DB00246,P08908,5-hydroxytryptamine_receptor_1A
DB00247,P08908,5-hydroxytryptamine_receptor_1A
DB00248,P08908,5-hydroxytryptamine_receptor_1A
DB00315,P08908,5-hydroxytryptamine_receptor_1A
DB00321,P08908,5-hydroxytryptamine_receptor_1A
DB00363,P08908,5-hydroxytryptamine_receptor_1A
DB00408,P08908,5-hydroxytryptamine_receptor_1A
DB00413,P08908,5-hydroxytryptamine_receptor_1A
DB00422,P08908,5-hydroxytryptamine_receptor_1A
DB00458,P08908,5-hydroxytryptamine_receptor_1A
DB00477,P08908,5-hydroxytryptamine_receptor_1A
DB00490,P08908,5-hydroxytryptamine_receptor_1A
DB00540,P08908,5-hydroxytryptamine_receptor_1A
DB00543,P08908,5-hydroxytryptamine_receptor_1A
DB00571,P08908,5-hydroxytryptamine_receptor_1A
DB00589,P08908,5-hydroxytryptamine_receptor_1A
DB00656,P08908,5-hydroxytryptamine_receptor_1A
DB00669,P08908,5-hydroxytryptamine_receptor_1A
DB00696,P08908,5-hydroxytryptamine_receptor_1A
DB00714,P08908,5-hydroxytryptamine_receptor_1A
DB00726,P08908,5-hydroxytryptamine_receptor_1A
DB00734,P08908,5-hydroxytryptamine_receptor_1A
DB00904,P08908,5-hydroxytryptamine_receptor_1A
DB00952,P08908,5-hydroxytryptamine_receptor_1A
DB00960,P08908,5-hydroxytryptamine_receptor_1A
DB00988,P08908,5-hydroxytryptamine_receptor_1A
DB01142,P08908,5-hydroxytryptamine_receptor_1A
DB01149,P08908,5-hydroxytryptamine_receptor_1A
DB01151,P08908,5-hydroxytryptamine_receptor_1A
DB01186,P08908,5-hydroxytryptamine_receptor_1A
DB01200,P08908,5-hydroxytryptamine_receptor_1A
DB01224,P08908,5-hydroxytryptamine_receptor_1A
DB01238,P08908,5-hydroxytryptamine_receptor_1A
DB01267,P08908,5-hydroxytryptamine_receptor_1A
DB01359,P08908,5-hydroxytryptamine_receptor_1A
DB01392,P08908,5-hydroxytryptamine_receptor_1A
DB01616,P08908,5-hydroxytryptamine_receptor_1A
DB01618,P08908,5-hydroxytryptamine_receptor_1A
DB01621,P08908,5-hydroxytryptamine_receptor_1A
DB04908,P08908,5-hydroxytryptamine_receptor_1A
DB04946,P08908,5-hydroxytryptamine_receptor_1A
DB04948,P08908,5-hydroxytryptamine_receptor_1A
DB05271,P08908,5-hydroxytryptamine_receptor_1A
DB06016,P08908,5-hydroxytryptamine_receptor_1A
DB06148,P08908,5-hydroxytryptamine_receptor_1A
DB06153,P08908,5-hydroxytryptamine_receptor_1A
DB06216,P08908,5-hydroxytryptamine_receptor_1A
DB06684,P08908,5-hydroxytryptamine_receptor_1A
DB08815,P08908,5-hydroxytryptamine_receptor_1A
DB09061,P08908,5-hydroxytryptamine_receptor_1A
DB09068,P08908,5-hydroxytryptamine_receptor_1A
DB09128,P08908,5-hydroxytryptamine_receptor_1A
DB09167,P08908,5-hydroxytryptamine_receptor_1A
DB14185,P08908,5-hydroxytryptamine_receptor_1A
DB00114,P34897,"Serine_hydroxymethyltransferase,_mitochondrial"
DB00145,P34897,"Serine_hydroxymethyltransferase,_mitochondrial"
DB00035,P30518,Vasopressin_V2_receptor
DB00067,P30518,Vasopressin_V2_receptor
DB00872,P30518,Vasopressin_V2_receptor
DB02638,P30518,Vasopressin_V2_receptor
DB06212,P30518,Vasopressin_V2_receptor
DB09059,P30518,Vasopressin_V2_receptor
DB14642,P30518,Vasopressin_V2_receptor
DB00160,P49588,"Alanine--tRNA_ligase,_cytoplasmic"
DB00157,O95168,NADH_dehydrogenase_[ubiquinone]_1_beta_subcomplex_subunit_4
DB00716,Q13258,Prostaglandin_D2_receptor
DB00157,Q6ZMR3,L-lactate_dehydrogenase_A-like_6A
DB00336,P06715,Glutathione_reductase
DB03147,P06715,Glutathione_reductase
DB00157,Q00796,Sorbitol_dehydrogenase
DB00162,P09455,Retinol-binding_protein_1
DB00459,P09455,Retinol-binding_protein_1
DB00766,P00807,Beta-lactamase
DB01598,P00807,Beta-lactamase
DB09324,P00807,Beta-lactamase
DB00308,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00381,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00393,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00653,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00661,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00898,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB04855,Q02641,Voltage-dependent_L-type_calcium_channel_subunit_beta-1
DB00118,P31153,S-adenosylmethionine_synthase_isoform_type-2
DB00157,Q16795,"NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_9,_mitochondrial"
DB03147,Q16795,"NADH_dehydrogenase_[ubiquinone]_1_alpha_subcomplex_subunit_9,_mitochondrial"
DB00129,P00480,"Ornithine_carbamoyltransferase,_mitochondrial"
DB00155,P00480,"Ornithine_carbamoyltransferase,_mitochondrial"
